genus,family,order,group
Synandrospadix,Araceae,Alismatales,Angiosperms
Syngonium,Araceae,Alismatales,Angiosperms
Taccarum,Araceae,Alismatales,Angiosperms
Theriophonum,Araceae,Alismatales,Angiosperms
Typhonium,Araceae,Alismatales,Angiosperms
Typhonodorum,Araceae,Alismatales,Angiosperms
Ulearum,Araceae,Alismatales,Angiosperms
Urospatha,Araceae,Alismatales,Angiosperms
Wolffia,Araceae,Alismatales,Angiosperms
Wolffiella,Araceae,Alismatales,Angiosperms
Xanthosoma,Araceae,Alismatales,Angiosperms
Zamioculcas,Araceae,Alismatales,Angiosperms
Zantedeschia,Araceae,Alismatales,Angiosperms
Zomicarpa,Araceae,Alismatales,Angiosperms
Zomicarpella,Araceae,Alismatales,Angiosperms
Butomus,Butomaceae,Alismatales,Angiosperms
Amphibolis,Cymodoceaceae,Alismatales,Angiosperms
Cymodocea,Cymodoceaceae,Alismatales,Angiosperms
Halodule,Cymodoceaceae,Alismatales,Angiosperms
Syringodium,Cymodoceaceae,Alismatales,Angiosperms
Thalassodendron,Cymodoceaceae,Alismatales,Angiosperms
Appertiella,Hydrocharitaceae,Alismatales,Angiosperms
Beneditaea,Hydrocharitaceae,Alismatales,Angiosperms
Blyxa,Hydrocharitaceae,Alismatales,Angiosperms
Egeria,Hydrocharitaceae,Alismatales,Angiosperms
Elodea,Hydrocharitaceae,Alismatales,Angiosperms
Enhalus,Hydrocharitaceae,Alismatales,Angiosperms
Halophila,Hydrocharitaceae,Alismatales,Angiosperms
Hydrilla,Hydrocharitaceae,Alismatales,Angiosperms
Hydrocharis,Hydrocharitaceae,Alismatales,Angiosperms
Lagarosiphon,Hydrocharitaceae,Alismatales,Angiosperms
Limnobium,Hydrocharitaceae,Alismatales,Angiosperms
Najas,Hydrocharitaceae,Alismatales,Angiosperms
Nechamandra,Hydrocharitaceae,Alismatales,Angiosperms
Ottelia,Hydrocharitaceae,Alismatales,Angiosperms
Stratiotes,Hydrocharitaceae,Alismatales,Angiosperms
Thalassia,Hydrocharitaceae,Alismatales,Angiosperms
Udora,Hydrocharitaceae,Alismatales,Angiosperms
Vallisneria,Hydrocharitaceae,Alismatales,Angiosperms
Cycnogeton,Juncaginaceae,Alismatales,Angiosperms
Maundia,Juncaginaceae,Alismatales,Angiosperms
Tetroncium,Juncaginaceae,Alismatales,Angiosperms
Triglochin,Juncaginaceae,Alismatales,Angiosperms
Tristemon,Juncaginaceae,Alismatales,Angiosperms
Posidonia,Posidoniaceae,Alismatales,Angiosperms
Althenia,Potamogetonaceae,Alismatales,Angiosperms
Buccaferrea,Potamogetonaceae,Alismatales,Angiosperms
Groenlandia,Potamogetonaceae,Alismatales,Angiosperms
Lepilaena,Potamogetonaceae,Alismatales,Angiosperms
Potamogeton,Potamogetonaceae,Alismatales,Angiosperms
Stuckenia,Potamogetonaceae,Alismatales,Angiosperms
Zannichellia,Potamogetonaceae,Alismatales,Angiosperms
Ruppia,Ruppiaceae,Alismatales,Angiosperms
Scheuchzeria,Scheuchzeriaceae,Alismatales,Angiosperms
Isidrogalvia,Tofieldiaceae,Alismatales,Angiosperms
Pleea,Tofieldiaceae,Alismatales,Angiosperms
Tofieldia,Tofieldiaceae,Alismatales,Angiosperms
Triantha,Tofieldiaceae,Alismatales,Angiosperms
Heterozostera,Zosteraceae,Alismatales,Angiosperms
Phyllospadix,Zosteraceae,Alismatales,Angiosperms
Zostera,Zosteraceae,Alismatales,Angiosperms
Amborella,Amborellaceae,Amborellales,Angiosperms
Aciphylla,Apiaceae,Apiales,Angiosperms
Acroglyphe,Apiaceae,Apiales,Angiosperms
Acronema,Apiaceae,Apiales,Angiosperms
Actinanthus,Apiaceae,Apiales,Angiosperms
Actinolema,Apiaceae,Apiales,Angiosperms
Actinotus,Apiaceae,Apiales,Angiosperms
Adenosciadium,Apiaceae,Apiales,Angiosperms
Adorium,Apiaceae,Apiales,Angiosperms
Aegokeras,Apiaceae,Apiales,Angiosperms
Aegopodium,Apiaceae,Apiales,Angiosperms
Aethusa,Apiaceae,Apiales,Angiosperms
Aframmi,Apiaceae,Apiales,Angiosperms
Afroligusticum,Apiaceae,Apiales,Angiosperms
Afrosciadium,Apiaceae,Apiales,Angiosperms
Afrosison,Apiaceae,Apiales,Angiosperms
Agasyllis,Apiaceae,Apiales,Angiosperms
Agrocharis,Apiaceae,Apiales,Angiosperms
Ainsworthia,Apiaceae,Apiales,Angiosperms
Albertia,Apiaceae,Apiales,Angiosperms
Albovia,Apiaceae,Apiales,Angiosperms
Alepidea,Apiaceae,Apiales,Angiosperms
Aletes,Apiaceae,Apiales,Angiosperms
Alococarpum,Apiaceae,Apiales,Angiosperms
Alposelinum,Apiaceae,Apiales,Angiosperms
Ammi,Apiaceae,Apiales,Angiosperms
Ammodaucus,Apiaceae,Apiales,Angiosperms
Ammoides,Apiaceae,Apiales,Angiosperms
Ammoselinum,Apiaceae,Apiales,Angiosperms
Analyrium,Apiaceae,Apiales,Angiosperms
Andriana,Apiaceae,Apiales,Angiosperms
Anethum,Apiaceae,Apiales,Angiosperms
Angelica,Apiaceae,Apiales,Angiosperms
Anginon,Apiaceae,Apiales,Angiosperms
Angoseseli,Apiaceae,Apiales,Angiosperms
Anidrum,Apiaceae,Apiales,Angiosperms
Anisactis,Apiaceae,Apiales,Angiosperms
Anisopoda,Apiaceae,Apiales,Angiosperms
Anisosciadium,Apiaceae,Apiales,Angiosperms
Anisotome,Apiaceae,Apiales,Angiosperms
Anisum,Apiaceae,Apiales,Angiosperms
Annesorhiza,Apiaceae,Apiales,Angiosperms
Anomopanax,Apiaceae,Apiales,Angiosperms
Anthriscus,Apiaceae,Apiales,Angiosperms
Aphanopleura,Apiaceae,Apiales,Angiosperms
Apiastrum,Apiaceae,Apiales,Angiosperms
Apinella,Apiaceae,Apiales,Angiosperms
Apiopetalum,Apiaceae,Apiales,Angiosperms
Apium,Apiaceae,Apiales,Angiosperms
Apodicarpum,Apiaceae,Apiales,Angiosperms
Arafoe,Apiaceae,Apiales,Angiosperms
Archangelica,Apiaceae,Apiales,Angiosperms
Archemora,Apiaceae,Apiales,Angiosperms
Arctopus,Apiaceae,Apiales,Angiosperms
Arcuatopterus,Apiaceae,Apiales,Angiosperms
Arracacia,Apiaceae,Apiales,Angiosperms
Artedia,Apiaceae,Apiales,Angiosperms
Asciadium,Apiaceae,Apiales,Angiosperms
Asteriscium,Apiaceae,Apiales,Angiosperms
Astomaea,Apiaceae,Apiales,Angiosperms
Astrantia,Apiaceae,Apiales,Angiosperms
Astrodaucus,Apiaceae,Apiales,Angiosperms
Astydamia,Apiaceae,Apiales,Angiosperms
Atenia,Apiaceae,Apiales,Angiosperms
Athamanta,Apiaceae,Apiales,Angiosperms
Aulacospermum,Apiaceae,Apiales,Angiosperms
Aulosolena,Apiaceae,Apiales,Angiosperms
Aulospermum,Apiaceae,Apiales,Angiosperms
